jour,categorie,libelle
2023-01-01,ferie_fixe,ferie_fixe_nouvel_an
2023-01-11,ferie_fixe,ferie_fixe_manifeste_independance
2023-01-14,ferie_fixe,ferie_fixe_nouvel_an_amazigh
2023-05-01,ferie_fixe,ferie_fixe_fete_travail
2023-07-30,ferie_fixe,ferie_fixe_fete_trone
2023-08-14,ferie_fixe,ferie_fixe_oued_eddahab
2023-08-20,ferie_fixe,ferie_fixe_revolution_roi_peuple
2023-08-21,ferie_fixe,ferie_fixe_fete_jeunesse
2023-11-06,ferie_fixe,ferie_fixe_marche_verte
2023-11-18,ferie_fixe,ferie_fixe_fete_independance
2024-01-01,ferie_fixe,ferie_fixe_nouvel_an
2024-01-11,ferie_fixe,ferie_fixe_manifeste_independance
2024-01-14,ferie_fixe,ferie_fixe_nouvel_an_amazigh
2024-03-11,ramadan,ramadan
2024-03-12,ramadan,ramadan
2024-03-13,ramadan,ramadan
2024-03-14,ramadan,ramadan
2024-03-15,ramadan,ramadan
2024-03-16,ramadan,ramadan
2024-03-17,ramadan,ramadan
2024-03-18,ramadan,ramadan
2024-03-19,ramadan,ramadan
2024-03-20,ramadan,ramadan
2024-03-21,ramadan,ramadan
2024-03-22,ramadan,ramadan
2024-03-23,ramadan,ramadan
2024-03-24,ramadan,ramadan
2024-03-25,ramadan,ramadan
2024-03-26,ramadan,ramadan
2024-03-27,ramadan,ramadan
2024-03-28,ramadan,ramadan
2024-03-29,ramadan,ramadan
2024-03-30,ramadan,ramadan
2024-03-31,ramadan,ramadan
2024-04-01,ramadan,ramadan
2024-04-02,ramadan,ramadan
2024-04-03,ramadan,ramadan
2024-04-04,ramadan,ramadan
2024-04-05,ramadan,ramadan
2024-04-06,ramadan,ramadan
2024-04-07,ramadan,ramadan
2024-04-08,ramadan,ramadan
2024-04-09,ramadan,ramadan
2024-04-10,ferie_mobile,aid_al_fitr
2024-04-11,ferie_mobile,aid_al_fitr
2024-05-01,ferie_fixe,ferie_fixe_fete_travail
2024-06-17,ferie_mobile,aid_al_adha
2024-06-18,ferie_mobile,aid_al_adha
2024-07-30,ferie_fixe,ferie_fixe_fete_trone
2024-08-14,ferie_fixe,ferie_fixe_oued_eddahab
2024-08-20,ferie_fixe,ferie_fixe_revolution_roi_peuple
2024-08-21,ferie_fixe,ferie_fixe_fete_jeunesse
2024-11-06,ferie_fixe,ferie_fixe_marche_verte
2024-11-18,ferie_fixe,ferie_fixe_fete_independance
2025-01-01,ferie_fixe,ferie_fixe_nouvel_an
2025-01-11,ferie_fixe,ferie_fixe_manifeste_independance
2025-01-14,ferie_fixe,ferie_fixe_nouvel_an_amazigh
2025-03-01,ramadan,ramadan
2025-03-02,ramadan,ramadan
2025-03-03,ramadan,ramadan
2025-03-04,ramadan,ramadan
2025-03-05,ramadan,ramadan
2025-03-06,ramadan,ramadan
2025-03-07,ramadan,ramadan
2025-03-08,ramadan,ramadan
2025-03-09,ramadan,ramadan
2025-03-10,ramadan,ramadan
2025-03-11,ramadan,ramadan
2025-03-12,ramadan,ramadan
2025-03-13,ramadan,ramadan
2025-03-14,ramadan,ramadan
2025-03-15,ramadan,ramadan
2025-03-16,ramadan,ramadan
2025-03-17,ramadan,ramadan
2025-03-18,ramadan,ramadan
2025-03-19,ramadan,ramadan
2025-03-20,ramadan,ramadan
2025-03-21,ramadan,ramadan
2025-03-22,ramadan,ramadan
2025-03-23,ramadan,ramadan
2025-03-24,ramadan,ramadan
2025-03-25,ramadan,ramadan
2025-03-26,ramadan,ramadan
2025-03-27,ramadan,ramadan
2025-03-28,ramadan,ramadan
2025-03-29,ramadan,ramadan
2025-03-30,ramadan,ramadan
2025-03-31,ferie_mobile,aid_al_fitr
2025-04-01,ferie_mobile,aid_al_fitr
2025-05-01,ferie_fixe,ferie_fixe_fete_travail
2025-06-07,ferie_mobile,aid_al_adha
2025-06-08,ferie_mobile,aid_al_adha
2025-07-30,ferie_fixe,ferie_fixe_fete_trone
2025-08-14,ferie_fixe,ferie_fixe_oued_eddahab
2025-08-20,ferie_fixe,ferie_fixe_revolution_roi_peuple
2025-08-21,ferie_fixe,ferie_fixe_fete_jeunesse
2025-11-06,ferie_fixe,ferie_fixe_marche_verte
2025-11-18,ferie_fixe,ferie_fixe_fete_independance
2026-01-01,ferie_fixe,ferie_fixe_nouvel_an
2026-01-11,ferie_fixe,ferie_fixe_manifeste_independance
2026-01-14,ferie_fixe,ferie_fixe_nouvel_an_amazigh
2026-02-19,ramadan,ramadan
2026-02-20,ramadan,ramadan
2026-02-21,ramadan,ramadan
2026-02-22,ramadan,ramadan
2026-02-23,ramadan,ramadan
2026-02-24,ramadan,ramadan
2026-02-25,ramadan,ramadan
2026-02-26,ramadan,ramadan
2026-02-27,ramadan,ramadan
2026-02-28,ramadan,ramadan
2026-03-01,ramadan,ramadan
2026-03-02,ramadan,ramadan
2026-03-03,ramadan,ramadan
2026-03-04,ramadan,ramadan
2026-03-05,ramadan,ramadan
2026-03-06,ramadan,ramadan
2026-03-07,ramadan,ramadan
2026-03-08,ramadan,ramadan
2026-03-09,ramadan,ramadan
2026-03-10,ramadan,ramadan
2026-03-11,ramadan,ramadan
2026-03-12,ramadan,ramadan
2026-03-13,ramadan,ramadan
2026-03-14,ramadan,ramadan
2026-03-15,ramadan,ramadan
2026-03-16,ramadan,ramadan
2026-03-17,ramadan,ramadan
2026-03-18,ramadan,ramadan
2026-03-19,ramadan,ramadan
2026-03-20,ferie_mobile,aid_al_fitr
2026-03-21,ferie_mobile,aid_al_fitr
2026-05-01,ferie_fixe,ferie_fixe_fete_travail
2026-05-27,ferie_mobile,aid_al_adha
2026-05-28,ferie_mobile,aid_al_adha
2026-07-30,ferie_fixe,ferie_fixe_fete_trone
2026-08-14,ferie_fixe,ferie_fixe_oued_eddahab
2026-08-20,ferie_fixe,ferie_fixe_revolution_roi_peuple
2026-08-21,ferie_fixe,ferie_fixe_fete_jeunesse
2026-10-31,ferie_fixe,ferie_fixe_aid_al_wahda
2026-11-06,ferie_fixe,ferie_fixe_marche_verte
2026-11-18,ferie_fixe,ferie_fixe_fete_independance
