donnees_synthetiques,date_jour,libelle_ferie,annee,trimestre,mois,jour,jour_semaine_iso,est_weekend,est_ferie,est_ramadan
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-01-01,ferie_fixe_nouvel_an,2023,1,1,1,7,True,True,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-01-30,,2023,1,1,30,1,False,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-02-28,,2023,1,2,28,2,False,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-03-29,,2023,1,3,29,3,False,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-04-27,,2023,2,4,27,4,False,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-05-26,,2023,2,5,26,5,False,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-06-24,,2023,2,6,24,6,True,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-07-23,,2023,3,7,23,7,True,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-08-21,ferie_fixe_fete_jeunesse,2023,3,8,21,1,False,True,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-09-19,,2023,3,9,19,2,False,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-10-18,,2023,4,10,18,3,False,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-11-16,,2023,4,11,16,4,False,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2023-12-15,,2023,4,12,15,5,False,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2024-01-13,,2024,1,1,13,6,True,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2024-02-11,,2024,1,2,11,7,True,False,False
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,2024-03-11,,2024,1,3,11,1,False,False,True
