donnees_synthetiques,n_relance,n_creance,date_relance,canal,resultat,date_extraction
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000000,CRE-0000000,03/25/2024,SMS,SANS,03/25/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000005,CRE-0000003,04/14/2024,EMAIL,REFUS,04/14/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000010,CRE-0000006,05/17/2024,SMS,REFUS,05/17/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000015,CRE-0000011,05/14/2024,SMS,SANS,05/14/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000020,CRE-0000014,05/29/2024,COUR,SANS,05/29/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000025,CRE-0000016,06/12/2024,COUR,PART,06/12/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000030,CRE-0000020,06/27/2024,TEL,PART,06/27/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000035,CRE-0000022,07/27/2024,TEL,PAYE,07/27/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000040,CRE-0000025,07/24/2024,TEL,PAYE,07/24/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000045,CRE-0000029,08/03/2024,SMS,SANS,08/03/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000050,CRE-0000030,09/13/2024,EMAIL,SANS,09/13/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000055,CRE-0000035,08/19/2024,TEL,SANS,08/19/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000060,CRE-0000037,08/28/2024,TEL,SANS,08/28/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000065,CRE-0000039,08/29/2024,TEL,PAYE,08/29/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000070,CRE-0000042,09/19/2024,SMS,SANS,09/19/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000075,CRE-0000045,09/19/2024,SMS,PART,09/19/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000080,CRE-0000048,09/28/2024,SMS,SANS,09/28/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000085,CRE-0000051,10/07/2024,SMS,PART,10/07/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000090,CRE-0000054,10/21/2024,TEL,PART,10/21/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000095,CRE-0000057,11/06/2024,TEL,SANS,11/06/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000100,CRE-0000061,11/30/2024,TEL,SANS,11/30/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000105,CRE-0000063,12/04/2024,TEL,SANS,12/04/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000110,CRE-0000066,12/09/2024,TEL,PART,12/09/2024
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000115,CRE-0000071,01/09/2025,TEL,SANS,01/09/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000120,CRE-0000073,01/24/2025,TEL,PART,01/24/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000125,CRE-0000076,01/20/2025,SMS,SANS,01/20/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000130,CRE-0000079,02/17/2025,TEL,PAYE,02/17/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000135,CRE-0000082,03/03/2025,SMS,PART,03/03/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000140,CRE-0000085,02/22/2025,TEL,SANS,02/22/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000145,CRE-0000090,03/22/2025,SMS,PART,03/22/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000150,CRE-0000093,04/26/2025,TEL,SANS,04/26/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000155,CRE-0000098,04/07/2025,TEL,PART,04/07/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000160,CRE-0000102,04/09/2025,SMS,PAYE,04/09/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000165,CRE-0000105,04/22/2025,SMS,SANS,04/22/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000170,CRE-0000106,05/23/2025,COUR,SANS,05/23/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000175,CRE-0000110,05/12/2025,COUR,SANS,05/12/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000180,CRE-0000113,05/08/2025,SMS,SANS,05/08/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000185,CRE-0000116,06/09/2025,SMS,SANS,06/09/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000190,CRE-0000119,06/15/2025,COUR,SANS,06/15/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000195,CRE-0000122,06/28/2025,TEL,SANS,06/28/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000200,CRE-0000124,06/27/2025,SMS,PART,06/27/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000205,CRE-0000125,08/19/2025,SMS,SANS,08/19/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000210,CRE-0000130,08/15/2025,TEL,REFUS,08/15/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000215,CRE-0000132,08/31/2025,TEL,SANS,08/31/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000220,CRE-0000135,08/19/2025,SMS,PART,08/19/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000225,CRE-0000137,09/12/2025,SMS,PART,09/12/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000230,CRE-0000140,09/09/2025,TEL,PAYE,09/09/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000235,CRE-0000144,09/24/2025,EMAIL,REFUS,09/24/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000240,CRE-0000149,10/22/2025,SMS,PAYE,10/22/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000245,CRE-0000152,11/06/2025,SMS,PAYE,11/06/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000250,CRE-0000154,11/23/2025,TEL,SANS,11/23/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000255,CRE-0000157,11/01/2025,TEL,SANS,11/01/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000260,CRE-0000160,11/29/2025,COUR,SANS,11/29/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000265,CRE-0000162,12/09/2025,SMS,SANS,12/09/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000270,CRE-0000164,12/08/2025,COUR,SANS,12/08/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000275,CRE-0000168,12/31/2025,COUR,PART,12/31/2025
Donnees synthetiques simulees a partir de statistiques publiques ; aucun patient reel,REL-0000280,CRE-0000171,01/01/2026,SMS,SANS,01/01/2026
