seuil_probabilite,vrais_positifs,faux_positifs,faux_negatifs,precision,rappel,f_mesure,nb_paires_verite_terrain,nb_grappes_predites,nb_grappes_exactes_restreint,nb_grappes_exactes_global,nb_enregistrements_sur_fusionnes_restreint,nb_enregistrements_sur_fusionnes_global
9.99999999999989e-301,991,4023,0,0.19764658954926206,1.0,0.3300582847626978,991,3735,973,18386,36,6755
1.924091249697839e-251,991,3062,0,0.24451023932889218,1.0,0.3929421094369548,991,3132,973,19731,36,5375
5.503292318793956e-239,991,2072,0,0.3235390140385243,1.0,0.4888998519980266,991,2450,975,21301,32,3757
7.356897794595419e-201,991,1005,0,0.4964929859719439,1.0,0.663542015400067,991,1746,985,23022,12,1949
4.921451568063374e-77,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
7.015289139213743e-69,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
9.999952458362909e-61,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
1.425444442632453e-52,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
2.031901519024167e-44,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
2.8963764981174743e-36,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
4.128643411259391e-28,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
5.88517978529895e-20,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
8.389036701630707e-12,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.0011943879910741514,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.5,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.51,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.52,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.53,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.54,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.55,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.56,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.57,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.58,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.59,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.6,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.61,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.62,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.63,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.64,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.65,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.66,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.67,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.68,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.69,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.7,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.71,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.72,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.73,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.74,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.75,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.76,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.77,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.78,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.79,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.8,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.81,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.82,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.83,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.84,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.85,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.86,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.87,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.88,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.89,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.9,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.91,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.92,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.93,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
0.94,991,0,0,1.0,1.0,1.0,991,991,991,24851,0,0
