jours,artefact,complement
0,9.4083,7.2413
1,11.4682,10.2316
2,15.2666,14.3946
3,19.1088,18.8801
4,22.5858,22.3102
5,25.3178,25.6230
6,28.5610,29.0531
7,31.5997,32.4245
8,33.5427,34.4181
9,36.1724,37.7016
10,38.5975,40.3108
11,40.8912,42.3923
12,43.1848,44.8549
13,45.5077,47.1709
14,47.5383,50.2199
15,49.2622,51.7444
16,51.6581,54.2363
17,53.8641,56.2005
18,56.0117,58.6631
19,58.1300,60.7740
20,60.1899,62.8555
21,62.1329,64.7318
22,63.4332,66.0803
23,65.3031,68.1325
24,67.0562,69.5984
25,68.6779,71.1228
26,70.2557,73.0284
27,71.6435,74.8168
28,73.1337,76.1947
29,74.1563,77.0742
30,75.5442,78.2468
31,76.8590,79.1264
32,77.8671,80.2697
33,79.0650,81.3838
34,80.0146,82.2339
35,81.2272,83.2014
36,81.9430,84.1689
37,82.7757,84.9018
38,83.7107,85.3415
39,84.3097,86.1331
40,85.0548,86.8660
41,85.9021,87.5403
42,86.6472,88.3026
43,87.1293,88.7130
44,87.6406,89.2407
45,88.2396,89.6804
46,88.8386,90.2375
47,89.3207,90.8238
48,89.8174,91.4395
49,90.3141,91.8499
50,90.7232,92.1724
51,91.1030,92.4362
52,91.4682,92.7001
53,91.8773,93.2571
54,92.1841,93.6675
55,92.6224,94.0780
56,92.8561,94.4591
57,93.1921,94.7816
58,93.3966,95.0748
59,93.6742,95.3679
60,94.0102,95.5731
61,94.3024,95.7490
62,94.5946,95.9249
63,94.9014,96.2181
64,95.0475,96.3061
65,95.2812,96.5406
66,95.4419,96.6872
67,95.6318,96.8924
68,95.8656,97.0683
69,96.0993,97.1269
70,96.2016,97.2442
71,96.3185,97.3615
72,96.5522,97.4494
73,96.6983,97.5960
74,96.7568,97.6546
75,96.8736,97.8012
76,96.9613,97.8599
77,97.0782,97.9478
78,97.1512,98.0651
79,97.2389,98.2117
80,97.3557,98.2410
81,97.5018,98.2410
82,97.5749,98.2410
83,97.6625,98.3876
84,97.7940,98.5048
85,97.8524,98.6221
86,97.9547,98.6221
87,98.0862,98.7687
88,98.1885,98.7687
89,98.2761,98.9739
90,98.3638,99.0325
