annee,programme,urgences
2024.000000,469,929
2024.083333,469,869
2024.166667,386,934
2024.250000,411,898
2024.333333,485,929
2024.416667,403,903
2024.500000,484,927
2024.583333,362,932
2024.666667,464,900
2024.750000,501,927
2024.833333,421,903
2024.916667,484,929
2025.000000,457,930
2025.083333,448,840
2025.166667,338,932
2025.250000,469,898
2025.333333,470,932
2025.416667,456,900
2025.500000,481,927
2025.583333,346,934
2025.666667,485,898
2025.750000,493,929
2025.833333,400,903
2025.916667,496,927
2026.000000,452,932
2026.083333,407,840
2026.166667,387,929
2026.250000,483,898
2026.333333,406,934
2026.416667,477,897
